Bank Name,Bank Sort Code
Paystack-Titan,100039
Moniepoint Microfinance Bank,090405
First City Monument Bank,214
First Bank of Nigeria,011
Fidelity Bank,070
Eyowo,50126
Ekondo Microfinance Bank,562
Ecobank Nigeria,050
Citibank Nigeria,023
CEMCS Microfinance Bank,50823
Bowen Microfinance Bank,50931
ASO Savings and Loans,401
Access Bank (Diamond),063
WEMA,035
FSDH Merchant Bank Limited,501
Globus Bank,00103
Guaranty Trust Bank,058
Hackman Microfinance Bank,51251
Hasal Microfinance Bank,50383
Heritage Bank - 030,030
Ibile Microfinance Bank,51244
Jaiz Bank,301
Keystone Bank,082
Kuda Bank,50211
Lagos Building Investment Company Plc,90052
One Finance,565
Parallex Bank,526
Parkway - ReadyCash,311
Polaris Bank,076
Providus Bank,101
Rubies MFB,125
Sparkle Microfinance Bank,51310
Stanbic IBTC Bank,221
Standard Chartered Bank,068
Sterling Bank,232
Suntrust Bank,100
TAJ Bank,302
TCF MFB,51211
Titan Bank,102
Union Bank of Nigeria,032
United Bank For Africa,033
Unity Bank,215
VFD,566
Wema Bank,035
Zenith Bank,057
Access Bank,044
Paycom (opay),999992
Palmpay,999991
Carbon,565
