supplier_code,supplier_name,inv_count,statuses,subledger_outstanding,gl_net_balance,difference
Fiber Planet,Fiber Planet,13,"PAID, PARTIALLY_PAID, POSTED, SUBMITTED",26217500.00,4695000.00,21522500.00
Coloplus Worldwide Services Li,Coloplus Worldwide Services Limited,12,"PAID, POSTED",11394000.00,2686500.00,8707500.00
Wiocc Nigeria Limited,Wiocc Nigeria Limited,12,"PAID, POSTED",8223750.00,5309300.00,2914450.00
Internet Exchange Point of Nig,Internet Exchange Point of Nigeria,1,PARTIALLY_PAID,7322232.56,4512232.56,2810000.00
DIGITAL REALITY (Medallion),DIGITAL REALITY (Medallion),15,"PAID, POSTED",3089040.08,289040.08,2800000.00
Sunny Martins Computers Ltd,Sunny Martins Computers Ltd,12,"APPROVED, PAID, PARTIALLY_PAID, POSTED",5318000.00,3138000.00,2180000.00
Tremfolink,Tremfolink,68,"APPROVED, PAID, PARTIALLY_PAID, POSTED",1358629.01,-605659.63,1964288.64
Anny Nze Global Nigeria Ltd,Anny Nze Global Nigeria Ltd,130,"PAID, POSTED, SUBMITTED",1479000.00,-154500.00,1633500.00
Abuja Electricity Distribution,Abuja Electricity Distribution Company,15,PAID,0.00,1224255.14,-1224255.14
Sir Tech Links & Services,Sir Tech Links & Services,18,PAID,0.00,-770000.00,770000.00
Myproject Security,Myproject Security,14,"PAID, SUBMITTED",720000.00,0.00,720000.00
Zoho Technologies,Zoho Technologies,4,"PAID, POSTED",1658630.40,953430.40,705200.00
Abuja Municipal Area Council,Abuja Municipal Area Council,12,"APPROVED, PAID, POSTED, SUBMITTED",1040630.60,380630.60,660000.00
Naturecraft Limited,Naturecraft Limited,8,"PAID, POSTED, SUBMITTED",465000.00,54500.00,410500.00
Hillary Pump & Machineries Ltd,Hillary Pump & Machineries Ltd.,9,"PAID, SUBMITTED",384000.00,0.00,384000.00
Swift Talk Limited,Swift Talk Limited,15,"PAID, PARTIALLY_PAID, POSTED",2882787.50,2517287.50,365500.00
Audacity Mobile Ltd - Dotmac T,Audacity Mobile Ltd - Dotmac Technologie,14,"PAID, POSTED, SUBMITTED",337000.00,15450.00,321550.00
Microview Nig Abuja,Microview Nig Abuja,41,"APPROVED, PAID, POSTED, SUBMITTED",2074500.00,1844500.00,230000.00
Bespoke computers and accessor,Bespoke computers and accessories limite,30,"APPROVED, PAID, POSTED, SUBMITTED",390000.35,200000.00,190000.35
Alakson-Kay Ventures,Alakson-Kay Ventures,19,PAID,0.00,190000.00,-190000.00
De Astonic Technical Tools,De Astonic Technical Tools,2,PAID,0.00,182500.00,-182500.00
Samuel Auto Service,Samuel Auto Service,7,"PAID, SUBMITTED",165000.00,0.00,165000.00
Deluxe Technology Nig Ltd,Deluxe Technology Nig Ltd,1,SUBMITTED,150000.00,0.00,150000.00
Joe Joe Automobile,Joe Joe Automobile,43,"APPROVED, PAID, POSTED, SUBMITTED",270500.00,136500.00,134000.00
Dotmac Direct Labour,Dotmac Direct Labour,13,PAID,0.00,-130000.03,130000.03
Centage Properties Ltd,Centage Properties Ltd,15,"PAID, SUBMITTED",127375.01,0.00,127375.01
Kosy-Raph Electrical Resources,Kosy-Raph Electrical Resources,39,PAID,0.00,-115000.00,115000.00
Yemakins Technologies Limited,Yemakins Technologies Limited,17,"PAID, POSTED",760000.00,663000.00,97000.00
JP Link Network Ltd,JP Link Network Ltd,8,"APPROVED, PAID, SUBMITTED",542000.00,451000.00,91000.00
Bookshop House Limited,Bookshop House Limited,17,PAID,0.00,81009.08,-81009.08
E-lap Multi Ventures Ltd,E-lap Multi Ventures Ltd,73,"PAID, PARTIALLY_PAID, POSTED",705394.10,783464.10,-78070.00
Lagos Internal Revenue Service,Lagos Internal Revenue Services,14,"APPROVED, PAID, SUBMITTED",136711.50,62253.52,74457.98
Danytex Global Ventures,Danytex Global Ventures,26,PAID,0.00,65500.00,-65500.00
Icon France Invest. West Afric,Icon France Invest. West Africa Ltd,26,"PAID, PARTIALLY_PAID, SUBMITTED",60000.01,0.00,60000.01
Sammy solar ltd,Sammy solar ltd,1,SUBMITTED,60000.00,0.00,60000.00
Linkztix Limited,Linkztix Limited,3,"APPROVED, PARTIALLY_PAID",113737.00,59987.00,53750.00
Foretec Ventures,Foretec Ventures,5,"PAID, POSTED",46000.00,0.00,46000.00
Peter Bolts & Nuts,Peter Bolts & Nuts,4,PAID,0.00,-44000.00,44000.00
Bestell Investment ltd,Bestell Investment ltd,24,"APPROVED, PAID, POSTED, SUBMITTED",220000.00,180000.00,40000.00
Auto Tracker Services,Auto Tracker Services,3,"PAID, SUBMITTED",40000.00,0.00,40000.00
Glovech Global Company Nig. Lt,Glovech Global Company Nig. Ltd,1,SUBMITTED,13000.00,0.00,13000.00
Idowu Orilo Enterprises,Idowu Orilo Enterprises,44,"PAID, SUBMITTED",38000.00,42000.00,-4000.00
1stilotech LTD,1stilotech LTD,1,APPROVED,10.20,0.00,10.20
